"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-12-24 / 03:10 PM","Floor","General Admission","","1","224.33"
"05-12-24 / 03:10 PM","Upper Tier","401","59","1","166.5"
"05-12-24 / 03:10 PM","Upper Tier","413","46","3","336.5"
"05-12-24 / 03:10 PM","Floor","General Admission","","2","178.99"
"05-12-24 / 03:10 PM","Upper Tier","410","50","3","224.28"
"05-12-24 / 11:08 AM","Floor","General Admission","","3","164.84"
"05-12-24 / 11:08 AM","Floor","Front Standing Left","","2","197.41"
"05-12-24 / 11:08 AM","Floor","Floor","","1","152.67"
"05-12-24 / 11:08 AM","Floor","Front Standing Right","","2","193.7"
"05-12-24 / 11:08 AM","Lower Tier","117","29","2","299.7"
"05-12-24 / 11:08 AM","Lower Tier","106","22","3","304.33"
"05-12-24 / 11:08 AM","Upper Tier","418","","3","336.5"
"05-12-24 / 11:08 AM","Lower Tier","109","27","2","249.75"
"05-12-24 / 11:08 AM","Upper Tier","409","54","3","243.18"
"05-12-24 / 11:08 AM","Upper Tier","401","58","2","166.5"
"05-12-24 / 11:08 AM","Floor","Front Standing Right","","2","229.38"
"05-12-24 / 11:08 AM","Floor","General Admission","","2","161.52"
"05-12-24 / 11:08 AM","Lower Tier","113","9","2","410.85"
"05-12-24 / 11:08 AM","Floor","Front Standing Right","","1","198.79"
"05-12-24 / 11:08 AM","Upper Tier","418","","2","243.18"
"05-12-24 / 11:08 AM","Upper Tier","411","43","1","175.28"
"05-12-24 / 11:08 AM","Lower Tier","102","6","1","266.4"
"05-12-24 / 11:08 AM","Lower Tier","102","7","1","249.75"
"05-12-24 / 11:08 AM","Upper Tier","421","51","2","166.44"
"05-12-24 / 11:08 AM","Upper Tier","420","41","1","439.69"
"05-12-24 / 11:08 AM","Upper Tier","418","46","1","314.07"
"05-12-24 / 11:08 AM","Upper Tier","413","46","2","403.79"
"05-12-24 / 11:08 AM","Lower Tier","107","24","4","224.28"
"05-12-24 / 11:08 AM","Lower Tier","113","7","1","219.35"
"05-12-24 / 11:08 AM","Lower Tier","102","5","2","296.61"
"05-12-24 / 11:08 AM","Floor","General Admission","","2","172.66"
"05-12-24 / 11:08 AM","Lower Tier","101","33","2","179.47"
"05-12-24 / 11:08 AM","Lower Tier","112","15","4","234.47"
"05-12-24 / 11:08 AM","Lower Tier","116","12","1","346.61"
"05-12-24 / 11:08 AM","Upper Tier","405","53","2","183.5"
"05-12-24 / 11:08 AM","Lower Tier","104","8","2","387.39"
"05-12-24 / 11:08 AM","Lower Tier","115","18","2","459.45"
"05-12-24 / 11:08 AM","Floor","Front Standing Left","","1","169.45"
"05-12-24 / 11:08 AM","Upper Tier","420","62","2","168.9"
"05-12-24 / 11:08 AM","Floor","General Admission","","1","168.57"
"05-12-24 / 11:08 AM","Upper Tier","408","55","1","162.82"
"05-12-24 / 11:08 AM","Lower Tier","104","","4","276.02"
"05-12-24 / 11:07 AM","Lower Tier","112","23","2","388.5"
"05-12-24 / 11:07 AM","Upper Tier","405","59","3","416.25"
"05-12-24 / 11:07 AM","Lower Tier","117","29","1","260.22"
"05-12-24 / 11:07 AM","Lower Tier","117","24","3","318.56"
"05-12-24 / 11:07 AM","Lower Tier","118","30","4","159.53"
"05-12-24 / 11:07 AM","Upper Tier","401","41","4","161.29"
"05-12-24 / 11:07 AM","Upper Tier","401","49","1","149.56"
"05-12-24 / 11:07 AM","Upper Tier","420","61","4","173.47"
"05-12-24 / 11:07 AM","Lower Tier","111","22","2","228.35"
"05-12-24 / 11:07 AM","Lower Tier","118","26","2","149.56"
"05-12-24 / 11:07 AM","Floor","General Admission","","2","153.95"
"05-12-24 / 11:07 AM","Upper Tier","421","56","2","179.47"
"05-12-24 / 11:07 AM","Upper Tier","420","49","2","159.53"
"05-12-24 / 11:07 AM","Lower Tier","109","19","2","321.18"
"05-12-24 / 11:07 AM","Lower Tier","118","17","4","172.29"
"05-12-24 / 11:07 AM","Floor","Front Standing Right","","2","190.02"
"05-12-24 / 11:07 AM","Lower Tier","101","29","2","154.01"
"05-12-24 / 11:07 AM","Lower Tier","108","10","3","287.21"
"05-12-24 / 11:07 AM","Upper Tier","408","53","1","158.25"
"05-12-24 / 11:07 AM","Floor","General Admission","","4","291.38"
"05-12-24 / 11:07 AM","Lower Tier","101","8","1","191.13"
"05-12-24 / 11:07 AM","Upper Tier","401","55","2","145.36"
"05-12-24 / 11:07 AM","Lower Tier","108","","1","226.36"
"05-12-24 / 11:07 AM","Lower Tier","115","","1","346.57"
"05-12-24 / 11:07 AM","Lower Tier","113","7","2","231.29"
"05-12-24 / 11:07 AM","Upper Tier","421","52","1","149.56"
"05-12-24 / 11:07 AM","Upper Tier","409","41","1","242.29"
"05-12-24 / 11:07 AM","Lower Tier","108","15","2","232.41"
"05-12-24 / 11:07 AM","Lower Tier","108","26","2","297.95"
"05-12-24 / 11:07 AM","Floor","General Admission","","4","254.86"
"05-12-24 / 11:07 AM","Lower Tier","115","8","2","404.87"
"05-12-24 / 11:07 AM","Lower Tier","109","23","2","243.47"
"05-12-24 / 11:07 AM","Lower Tier","113","18","2","273.9"
"05-12-24 / 11:07 AM","Lower Tier","113","26","2","202.44"
"05-12-24 / 11:07 AM","Lower Tier","109","20","2","233.12"
"05-12-24 / 11:07 AM","Lower Tier","108","21","3","280.35"
"05-12-24 / 11:07 AM","Floor","General Admission","","2","244.7"
"05-12-24 / 11:07 AM","Floor","Front Standing Left","","2","210.8"
"05-12-24 / 11:07 AM","Lower Tier","117","15","2","403.79"
"05-12-24 / 11:07 AM","Lower Tier","110","20","2","262.24"
"05-12-24 / 11:07 AM","Lower Tier","111","12","2","253.91"
"05-12-24 / 11:07 AM","Upper Tier","411","43","2","203.96"
"05-12-24 / 11:07 AM","Lower Tier","118","28","4","176.49"
"05-12-24 / 11:07 AM","Lower Tier","101","32","4","199.8"
"05-12-24 / 11:07 AM","Upper Tier","420","56","2","174.82"
"05-12-24 / 11:07 AM","Upper Tier","408","57","2","200.86"
"05-12-24 / 11:07 AM","Upper Tier","407","57","4","195.64"
"05-12-24 / 11:07 AM","Upper Tier","411","45","2","199.8"
"05-12-24 / 11:07 AM","Lower Tier","111","15","1","228.94"
"05-12-24 / 11:07 AM","Lower Tier","114","","1","349.06"
"05-12-24 / 11:07 AM","Upper Tier","401","51","1","144.86"
"05-12-24 / 11:07 AM","Lower Tier","118","13","1","149.85"
"05-12-24 / 11:07 AM","Lower Tier","118","25","2","163.11"
"05-12-24 / 11:07 AM","Floor","General Admission","","2","267.4"
"05-12-24 / 11:07 AM","Floor","General Admission","","1","179.47"
"05-12-24 / 11:07 AM","Upper Tier","418","59","3","243.18"
"05-12-24 / 11:07 AM","Upper Tier","409","52","1","182.45"
"05-12-24 / 11:07 AM","Lower Tier","108","13","4","286.25"
"05-12-24 / 11:07 AM","Lower Tier","107","23","2","234.58"
"05-12-24 / 11:07 AM","Upper Tier","407","58","1","182.47"
"05-12-24 / 11:07 AM","Upper Tier","420","42","2","179.47"
"05-12-24 / 11:07 AM","Upper Tier","401","49","4","145.69"
"05-12-24 / 11:07 AM","Upper Tier","413","45","1","166.5"
"05-12-24 / 11:07 AM","Floor","Front Standing Right","","1","179.82"
"05-12-24 / 11:07 AM","Upper Tier","405","50","2","203.13"
"05-12-24 / 11:07 AM","Lower Tier","101","10","1","159.53"
"05-12-24 / 11:07 AM","Upper Tier","420","48","4","173.16"
"05-12-24 / 11:07 AM","Upper Tier","420","47","2","208.12"
"05-12-24 / 11:07 AM","Floor","General Admission","","4","163.17"
"05-12-24 / 11:07 AM","Lower Tier","109","13","2","370"
"05-12-24 / 11:07 AM","Lower Tier","111","21","2","255.58"
"05-12-24 / 11:07 AM","Upper Tier","401","59","4","155.21"
"05-12-24 / 11:07 AM","Lower Tier","113","10","4","365.2"
"05-12-24 / 11:07 AM","Upper Tier","413","55","1","166.5"
"05-12-24 / 11:07 AM","Upper Tier","404","53","2","199.8"
"05-12-24 / 11:07 AM","Upper Tier","405","52","2","231.25"
"05-12-24 / 11:07 AM","Lower Tier","113","17","2","236.43"
"05-12-24 / 11:07 AM","Lower Tier","113","18","2","237.26"
"05-12-24 / 11:07 AM","Lower Tier","110","15","2","433.27"
"05-12-24 / 11:07 AM","Lower Tier","113","11","2","249.75"
"05-12-24 / 11:07 AM","Upper Tier","409","51","1","178.4"
"05-12-24 / 07:31 AM","Upper Tier","405","53","2","198.83"
"05-12-24 / 07:31 AM","Floor","Front Standing Left","","1","206.68"
"05-12-24 / 07:31 AM","Lower Tier","111","22","2","279.02"
"05-12-24 / 07:31 AM","Floor","General Admission","","2","206.68"
"05-12-24 / 07:31 AM","Lower Tier","109","20","2","237.4"
"05-12-24 / 07:31 AM","Upper Tier","408","53","3","170.44"
"05-12-24 / 07:31 AM","Upper Tier","417","57","2","333"
"05-12-24 / 07:31 AM","Lower Tier","105","29","2","279.38"
"05-12-24 / 07:31 AM","Lower Tier","105","26","2","287.15"
"05-12-24 / 07:31 AM","Lower Tier","109","27","3","333"
"05-12-24 / 07:31 AM","Lower Tier","113","13","1","199.8"
"05-12-24 / 07:31 AM","Upper Tier","417","52","2","179.47"
"05-12-24 / 07:31 AM","Floor","Floor","","1","306.74"
"05-12-24 / 07:31 AM","Lower Tier","112","25","1","410.7"
"05-12-24 / 07:31 AM","Lower Tier","104","10","2","457.88"
"05-12-24 / 07:31 AM","Lower Tier","110","11","2","269.2"
"05-12-24 / 07:31 AM","Lower Tier","115","11","2","416.25"
"05-12-24 / 07:31 AM","Floor","General Admission","","2","174.28"
"05-12-24 / 07:31 AM","Upper Tier","411","45","2","197.2"
"05-12-24 / 07:31 AM","Floor","Front Standing Right","","2","179.47"
"05-12-24 / 07:31 AM","Lower Tier","108","32","2","293.02"
"05-12-24 / 07:31 AM","Upper Tier","415","63","2","170.44"
"05-12-24 / 07:31 AM","Floor","General Admission","","1","152.94"
"05-12-24 / 07:31 AM","Upper Tier","401","62","4","141.52"
"05-12-24 / 07:31 AM","Upper Tier","406","49","4","166"
"05-12-24 / 07:31 AM","Floor","General Admission","","1","288.45"
"05-12-24 / 07:31 AM","Upper Tier","409","56","2","246.32"
"05-12-24 / 07:31 AM","Floor","Floor","","1","219.35"
"05-12-24 / 07:31 AM","Floor","General Admission","","2","246.73"
"05-12-24 / 07:31 AM","Lower Tier","106","17","4","403.76"
"05-12-24 / 07:31 AM","Lower Tier","115","10","4","470.36"
"05-12-24 / 07:31 AM","Lower Tier","105","7","1","266.4"
"05-12-24 / 07:31 AM","Lower Tier","107","24","2","416.25"
"05-12-24 / 07:31 AM","Floor","General Admission","","2","219.84"
"05-12-24 / 07:31 AM","Lower Tier","108","11","2","394.83"
"05-12-24 / 07:31 AM","Lower Tier","109","20","2","233.1"
"05-12-24 / 07:31 AM","Lower Tier","118","12","1","149.85"
"05-12-24 / 07:31 AM","Lower Tier","109","10","3","333"
"05-12-24 / 07:31 AM","Lower Tier","111","12","1","224.78"
"05-12-24 / 07:31 AM","Lower Tier","106","8","2","448.67"
"05-12-24 / 07:31 AM","Lower Tier","101","7","4","179.47"
"05-12-24 / 07:31 AM","Lower Tier","117","13","1","233.1"
"05-12-24 / 07:31 AM","Lower Tier","111","17","1","428.74"
"05-12-24 / 07:31 AM","Lower Tier","118","6","1","158.18"
"05-12-24 / 07:31 AM","Floor","General Admission","","2","152.54"
"05-12-24 / 07:31 AM","Lower Tier","108","29","1","307.09"
"05-12-24 / 07:31 AM","Floor","General Admission","","2","134.61"
"05-12-24 / 07:31 AM","Lower Tier","118","9","1","145.48"
"05-12-24 / 07:31 AM","Lower Tier","105","25","2","273.92"
"05-12-24 / 07:31 AM","Lower Tier","110","12","2","269.2"
"05-12-24 / 07:31 AM","Floor","Front Standing Left","","2","228.94"
"05-12-24 / 07:31 AM","Lower Tier","113","17","2","234.35"
"05-12-24 / 07:31 AM","Lower Tier","113","14","4","255.66"
"05-12-24 / 07:31 AM","Upper Tier","413","50","3","273.92"
"05-12-24 / 07:31 AM","Upper Tier","407","57","2","198.97"
"05-12-24 / 07:31 AM","Floor","General Admission","","1","279.49"
"05-12-24 / 03:17 AM","Floor","Front Standing Right","","2","213.57"
"05-12-24 / 03:17 AM","Floor","Front Standing Right","","1","186.65"
"05-12-24 / 03:17 AM","Upper Tier","409","52","3","243.47"
"05-12-24 / 03:17 AM","Lower Tier","118","15","1","142.75"
"05-12-24 / 03:17 AM","Lower Tier","110","19","2","227.53"
"05-12-24 / 03:17 AM","Lower Tier","118","12","2","165.83"
"05-12-24 / 03:17 AM","Floor","General Admission","","2","176.52"
"05-12-24 / 03:17 AM","Lower Tier","113","12","2","261.4"
"05-11-24 / 10:36 PM","Floor","Front Standing Right","","1","203.92"
"05-11-24 / 10:35 PM","Floor","General Admission","","1","174.28"
"05-11-24 / 10:35 PM","Lower Tier","118","15","3","193.73"
"05-11-24 / 10:35 PM","Lower Tier","117","29","2","332.01"
"05-11-24 / 10:35 PM","Floor","Front Standing Left","","2","262.92"
"05-11-24 / 10:35 PM","Lower Tier","108","10","3","287.21"
"05-11-24 / 10:35 PM","Lower Tier","109","23","2","395.66"
"05-11-24 / 10:35 PM","Lower Tier","108","15","2","269.2"
"05-11-24 / 10:35 PM","Upper Tier","408","57","2","213.05"
"05-11-24 / 10:35 PM","Lower Tier","118","12","1","165.83"
"05-11-24 / 10:35 PM","Lower Tier","107","17","3","304.35"
"05-11-24 / 10:35 PM","Lower Tier","111","21","2","279.72"
"05-11-24 / 10:35 PM","Floor","Front Standing Right","","3","203.92"
"05-11-24 / 10:35 PM","Lower Tier","104","9","2","432.9"
"05-11-24 / 10:35 PM","Lower Tier","103","18","2","433.34"
"05-11-24 / 10:35 PM","Lower Tier","115","7","3","394.37"
"05-11-24 / 10:35 PM","Lower Tier","101","33","2","291.63"
"05-11-24 / 10:35 PM","Upper Tier","401","55","4","231.51"
"05-11-24 / 10:35 PM","Floor","General Admission","","1","178.99"
"05-11-24 / 10:35 PM","Floor","General Admission","","2","185.75"
"05-11-24 / 10:35 PM","Floor","General Admission","","2","166.51"
"05-11-24 / 10:35 PM","Floor","General Admission","","2","167.22"
"05-11-24 / 10:35 PM","Floor","Floor","","2","153.03"
"05-11-24 / 10:35 PM","Lower Tier","115","16","2","322.67"
"05-11-24 / 10:35 PM","Upper Tier","418","59","1","430.72"
"05-11-24 / 10:35 PM","Floor","General Admission","","2","314.07"
"05-11-24 / 10:35 PM","Lower Tier","114","7","2","282.21"
"05-11-24 / 10:35 PM","Floor","General Admission","","4","243.48"
"05-11-24 / 10:35 PM","Upper Tier","408","57","4","237.4"
"05-11-24 / 10:35 PM","Upper Tier","407","55","1","177.02"
"05-11-24 / 10:35 PM","Floor","Front Standing Right","","2","245.67"
"05-11-24 / 10:35 PM","Lower Tier","107","23","1","329.3"
"05-11-24 / 10:35 PM","Lower Tier","107","21","5","411.62"
"05-11-24 / 10:35 PM","Floor","General Admission","","4","277.5"
"05-11-24 / 10:35 PM","Lower Tier","110","13","2","287.21"
"05-11-24 / 10:35 PM","Lower Tier","102","14","1","269.2"
"05-11-24 / 10:35 PM","Floor","Front Standing Left","","2","228.82"
"05-11-24 / 10:35 PM","Lower Tier","101","11","2","159.86"
"05-11-24 / 10:35 PM","Upper Tier","407","58","2","185.75"
"05-11-24 / 10:35 PM","Upper Tier","410","41","1","184.05"
"05-11-24 / 10:35 PM","Upper Tier","405","57","1","170.44"
"05-11-24 / 10:35 PM","Upper Tier","415","62","2","193.73"
"05-11-24 / 10:35 PM","Lower Tier","106","25","4","353.05"
"05-11-24 / 10:35 PM","Lower Tier","118","19","2","183.52"
"05-11-24 / 10:35 PM","Lower Tier","106","6","4","233.11"
"05-11-24 / 10:35 PM","Floor","General Admission","","4","178.89"
"05-11-24 / 10:35 PM","Floor","General Admission","","2","226.12"
"05-11-24 / 10:35 PM","Lower Tier","108","32","1","201.57"
"05-11-24 / 10:35 PM","Upper Tier","410","42","2","245.66"
"05-11-24 / 10:35 PM","Upper Tier","421","47","2","163.82"
"05-11-24 / 10:35 PM","Lower Tier","101","24","2","170.5"
"05-11-24 / 10:35 PM","Lower Tier","111","26","1","202.77"
"05-11-24 / 10:35 PM","Lower Tier","109","11","2","345.49"
"05-11-24 / 10:35 PM","Upper Tier","412","44","1","201.9"
"05-11-24 / 10:35 PM","Lower Tier","114","7","2","283.08"
"05-11-24 / 10:35 PM","Lower Tier","118","14","2","174.61"
"05-11-24 / 10:35 PM","Lower Tier","114","14","2","291.63"
"05-11-24 / 10:35 PM","Floor","Front Standing Right","","1","314.07"
"05-11-24 / 10:35 PM","Lower Tier","113","15","1","227.37"
"05-11-24 / 10:35 PM","Floor","General Admission","","2","346.39"
"05-11-24 / 10:35 PM","Lower Tier","117","26","2","385.52"
"05-11-24 / 10:35 PM","Upper Tier","420","61","3","391.28"
"05-11-24 / 10:35 PM","Lower Tier","109","10","2","283.05"
"05-11-24 / 10:35 PM","Lower Tier","110","11","4","286.25"
"05-11-24 / 10:35 PM","Lower Tier","118","12","1","133.31"
"05-11-24 / 10:35 PM","Lower Tier","102","24","1","363.59"
"05-11-24 / 10:35 PM","Lower Tier","101","12","1","129.04"
"05-11-24 / 10:35 PM","Lower Tier","109","13","1","266.29"
"05-11-24 / 10:35 PM","Lower Tier","108","25","1","203.96"
"05-11-24 / 10:35 PM","Lower Tier","117","10","2","341.57"
"05-11-24 / 10:35 PM","Lower Tier","114","25","4","437.42"
"05-11-24 / 10:35 PM","Floor","General Admission","","2","162.33"
"05-11-24 / 10:35 PM","Upper Tier","407","51","1","135.83"
"05-11-24 / 10:35 PM","Lower Tier","113","18","2","376.85"
"05-11-24 / 10:35 PM","Lower Tier","101","13","1","145.39"
"05-11-24 / 10:35 PM","Lower Tier","106","32","1","201.57"
"05-11-24 / 10:35 PM","Lower Tier","106","15","1","227.86"
"05-11-24 / 10:35 PM","Lower Tier","106","27","1","369.63"
"05-11-24 / 10:35 PM","Lower Tier","117","12","1","299.39"
"05-11-24 / 10:35 PM","Upper Tier","404","47","2","260.22"
"05-11-24 / 10:35 PM","Floor","General Admission","","4","176.52"
"05-11-24 / 10:35 PM","Lower Tier","101","30","4","166.5"
"05-11-24 / 10:35 PM","Lower Tier","113","19","4","273.92"
"05-11-24 / 10:35 PM","Upper Tier","415","58","2","205.49"
"05-11-24 / 10:34 PM","Upper Tier","411","41","2","232.51"
"05-11-24 / 01:16 PM","Lower Tier","110","13","2","287.21"
"05-11-24 / 01:16 PM","Floor","Front Standing Right","","1","314.07"
"05-11-24 / 01:16 PM","Lower Tier","101","11","2","173.93"
"05-11-24 / 01:16 PM","Upper Tier","413","45","3","269.2"
"05-11-24 / 01:16 PM","Floor","General Admission","","3","335.64"
"05-11-24 / 01:16 PM","Upper Tier","420","57","4","182.59"
"05-11-24 / 01:16 PM","Upper Tier","410","44","1","179.66"
"05-11-24 / 01:16 PM","Upper Tier","407","46","2","195"
"05-11-24 / 01:16 PM","Upper Tier","402","55","1","184.05"
"05-11-24 / 01:16 PM","Upper Tier","408","52","2","193.03"
"05-11-24 / 01:16 PM","Lower Tier","111","24","1","202.77"
"05-11-24 / 01:16 PM","Floor","General Admission","","2","287.15"
"05-11-24 / 01:16 PM","Floor","General Admission","","2","425.73"
"05-11-24 / 01:16 PM","Lower Tier","101","10","1","125.41"
"05-11-24 / 01:16 PM","Lower Tier","117","11","1","219.22"
"05-11-24 / 01:16 PM","Lower Tier","104","17","1","267.91"
"05-11-24 / 01:16 PM","Upper Tier","404","43","1","213.79"
"05-11-24 / 01:16 PM","Lower Tier","108","16","1","338.83"
"05-11-24 / 01:16 PM","Lower Tier","Lower Tier","","3","321.9"
"05-11-24 / 01:16 PM","Lower Tier","105","32","1","250.08"
"05-11-24 / 01:16 PM","Upper Tier","420","49","4","197.41"
"05-11-24 / 01:16 PM","Lower Tier","101","13","1","124.88"
"05-11-24 / 01:16 PM","Lower Tier","101","11","1","133.2"
"05-11-24 / 01:16 PM","Lower Tier","105","24","1","249.74"
"05-11-24 / 01:16 PM","Lower Tier","108","24","1","203.96"
"05-11-24 / 01:16 PM","Upper Tier","405","53","2","263.22"
"05-11-24 / 01:16 PM","Lower Tier","109","27","1","196.52"
"05-11-24 / 09:06 AM","Upper Tier","421","47","2","186.57"
"05-11-24 / 09:06 AM","Upper Tier","407","58","3","291.5"
"05-11-24 / 09:06 AM","Lower Tier","111","24","2","202.3"
"05-11-24 / 09:06 AM","Upper Tier","419","59","2","215.36"
"05-11-24 / 09:06 AM","Floor","Front Standing Right","","1","212.16"
"05-11-24 / 09:06 AM","Upper Tier","414","57","2","222.96"
"05-11-24 / 09:06 AM","Floor","Front Standing Left","","1","419.55"
"05-11-24 / 09:06 AM","Floor","General Admission","","4","195.27"
"05-11-24 / 09:06 AM","Floor","General Admission","","4","224.78"
"05-11-24 / 09:06 AM","Upper Tier","416","45","1","165.67"
"05-11-24 / 09:06 AM","Lower Tier","106","21","2","335"
"05-11-24 / 09:06 AM","Upper Tier","421","55","1","126.66"
"05-11-24 / 09:06 AM","Lower Tier","117","9","1","307.09"
"05-11-24 / 09:06 AM","Floor","General Admission","","2","219.1"
"05-11-24 / 09:06 AM","Floor","General Admission","","2","227.53"
"05-11-24 / 09:06 AM","Lower Tier","118","10","1","147.94"
"05-11-24 / 09:06 AM","Lower Tier","102","12","1","231.44"
"05-11-24 / 09:06 AM","Lower Tier","117","10","2","437.42"
"05-11-24 / 09:06 AM","Lower Tier","105","26","4","399.31"
"05-11-24 / 09:06 AM","Lower Tier","101","7","1","145.83"
"05-11-24 / 09:06 AM","Lower Tier","109","19","2","254.9"
"05-11-24 / 09:06 AM","Lower Tier","113","26","4","441.22"
"05-11-24 / 09:06 AM","Upper Tier","410","45","1","193.73"
"05-11-24 / 09:06 AM","Upper Tier","402","44","2","333.41"
"05-11-24 / 04:37 AM","Floor","Front Standing Right","","2","262.23"
"05-11-24 / 04:37 AM","Lower Tier","101","30","1","112.39"
"05-11-24 / 04:37 AM","Upper Tier","416","42","1","165.67"
"05-11-24 / 04:37 AM","Lower Tier","105","17","4","231.4"
"05-11-24 / 04:37 AM","Lower Tier","113","11","1","243.29"
"05-11-24 / 04:37 AM","Upper Tier","410","","2","201.94"
"05-11-24 / 04:37 AM","Lower Tier","111","11","1","283.99"
"05-11-24 / 04:37 AM","Lower Tier","106","","3","438.59"
"05-11-24 / 04:37 AM","Lower Tier","101","5","1","189.28"
"05-10-24 / 11:11 PM","Upper Tier","415","63","2","212.88"
"05-10-24 / 11:11 PM","Upper Tier","420","49","2","199.32"
"05-10-24 / 11:11 PM","Lower Tier","107","23","2","361.51"
"05-10-24 / 11:11 PM","Upper Tier","418","59","1","339.93"
"05-10-24 / 11:11 PM","Floor","General Admission","","2","197.32"
"05-10-24 / 11:11 PM","Lower Tier","109","19","2","351.46"
"05-10-24 / 11:11 PM","Floor","General Admission","","3","414.27"
"05-10-24 / 11:11 PM","Floor","General Admission","","2","196.86"
"05-10-24 / 11:11 PM","Floor","General Admission","","2","407"
"05-10-24 / 11:11 PM","Lower Tier","108","11","2","288.07"
"05-10-24 / 11:11 PM","Lower Tier","114","5","2","315.8"
"05-10-24 / 11:11 PM","Lower Tier","113","7","1","222.88"
"05-10-24 / 11:11 PM","Floor","General Admission","","1","161.45"
"05-10-24 / 11:11 PM","Upper Tier","420","53","2","179.39"
"05-10-24 / 11:11 PM","Upper Tier","401","41","1","182.47"
"05-10-24 / 11:10 PM","Lower Tier","117","16","3","356.55"
"05-10-24 / 11:10 PM","Lower Tier","115","7","2","519.54"
"05-10-24 / 11:10 PM","Floor","General Admission","","1","175.2"
"05-10-24 / 11:10 PM","Floor","Front Standing Left","","5","212.23"
"05-10-24 / 11:10 PM","Upper Tier","401","49","1","133.31"
"05-10-24 / 11:10 PM","Floor","General Admission","","3","255.19"
"05-10-24 / 11:10 PM","Floor","General Admission","","2","226.36"
"05-10-24 / 11:10 PM","Floor","General Admission","","2","228.72"
"05-10-24 / 11:10 PM","Upper Tier","415","","2","256.66"
"05-10-24 / 11:10 PM","Floor","Front Standing Left","","1","213.93"
"05-10-24 / 11:10 PM","Floor","General Admission","","1","188.35"
"05-10-24 / 11:10 PM","Lower Tier","117","27","1","205.86"
"05-10-24 / 11:10 PM","Lower Tier","114","5","2","293.79"
"05-10-24 / 11:10 PM","Upper Tier","414","54","1","190.15"
"05-10-24 / 11:10 PM","Floor","General Admission","","2","221.55"
"05-10-24 / 11:10 PM","Lower Tier","106","6","2","304.12"
"05-10-24 / 11:10 PM","Floor","General Admission","","1","175.2"
"05-10-24 / 11:10 PM","Lower Tier","106","12","2","291.5"
"05-10-24 / 11:10 PM","Lower Tier","109","19","1","262.89"
"05-10-24 / 11:10 PM","Upper Tier","409","50","1","236.28"
"05-10-24 / 11:10 PM","Lower Tier","108","26","3","351.2"
"05-10-24 / 11:10 PM","Lower Tier","115","17","2","399.6"
"05-10-24 / 11:10 PM","Upper Tier","411","45","1","192.92"
"05-10-24 / 11:10 PM","Floor","General Admission","","1","219.74"
"05-10-24 / 11:10 PM","Lower Tier","115","12","1","452.95"
"05-10-24 / 11:10 PM","Lower Tier","114","14","2","389.26"
"05-10-24 / 11:10 PM","Upper Tier","421","46","2","460.44"
"05-10-24 / 11:10 PM","Lower Tier","115","26","1","439.06"
"05-10-24 / 11:10 PM","Upper Tier","420","44","2","201.81"
"05-10-24 / 11:10 PM","Upper Tier","401","60","1","178.03"
"05-10-24 / 11:10 PM","Lower Tier","115","15","1","346.36"
"05-10-24 / 11:10 PM","Floor","General Admission","","1","350.4"
"05-10-24 / 11:10 PM","Upper Tier","405","57","1","219.25"
"05-10-24 / 11:10 PM","Lower Tier","118","25","2","333.26"
"05-10-24 / 11:10 PM","Lower Tier","111","17","1","248.79"
"05-10-24 / 11:10 PM","Floor","Front Standing Right","","1","296.96"
"05-10-24 / 11:10 PM","Lower Tier","109","18","1","306.95"
"05-10-24 / 11:10 PM","Lower Tier","115","","2","385.87"
"05-10-24 / 11:10 PM","Floor","General Admission","","4","255.46"
"05-10-24 / 11:10 PM","Upper Tier","408","57","4","273.7"
"05-10-24 / 11:10 PM","Lower Tier","117","29","4","448.46"
"05-10-24 / 11:10 PM","Lower Tier","117","8","4","401.82"
"05-10-24 / 11:10 PM","Lower Tier","106","33","1","303.86"
"05-10-24 / 11:10 PM","Lower Tier","106","22","2","254.68"
"05-10-24 / 11:10 PM","Lower Tier","111","15","2","246.12"
"05-10-24 / 11:10 PM","Upper Tier","414","52","1","175.2"
"05-10-24 / 11:10 PM","Lower Tier","101","14","1","175.4"
"05-10-24 / 11:10 PM","Floor","General Admission","","2","213.99"
"05-10-24 / 11:10 PM","Floor","General Admission","","1","219.25"
"05-10-24 / 11:10 PM","Upper Tier","403","47","2","358.77"
"05-10-24 / 11:10 PM","Lower Tier","101","11","4","249.35"
"05-10-24 / 11:10 PM","Floor","General Admission","","1","175.4"
"05-10-24 / 11:10 PM","Floor","General Admission","","2","324.12"
"05-10-24 / 11:10 PM","Lower Tier","101","10","1","157.68"
"05-10-24 / 11:10 PM","Lower Tier","101","","1","139.6"
"05-10-24 / 11:10 PM","Floor","Front Standing Right","","1","258.41"
"05-10-24 / 11:10 PM","Lower Tier","109","10","4","416.66"
"05-10-24 / 11:10 PM","Upper Tier","420","53","1","238.01"
"05-10-24 / 11:10 PM","Lower Tier","101","12","1","140.16"
"05-10-24 / 11:10 PM","Lower Tier","101","7","1","162.24"
"05-10-24 / 11:10 PM","Floor","Front Standing Left","","2","358.77"
"05-10-24 / 11:10 PM","Lower Tier","105","15","2","341.27"
"05-10-24 / 11:10 PM","Lower Tier","101","9","2","231.32"
"05-10-24 / 11:10 PM","Floor","General Admission","","1","174.41"
"05-10-24 / 11:10 PM","Floor","General Admission","","1","236.79"
