"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-02-23 / 10:27 PM","Lower","132","4","2","2212.99"
"06-02-23 / 10:27 PM","Field","FIELD N","16","2","3237.12"
"06-02-23 / 10:27 PM","Middle","241","2","2","2896.34"
"06-02-23 / 05:56 PM","Middle","256","13","2","1133.73"
"06-02-23 / 01:46 PM","Lower","138","4","2","2247.7"
"06-02-23 / 10:43 AM","Grandstand","439","37","1","1105.8"
"06-02-23 / 10:43 AM","Grandstand","447","31","2","947.03"
"06-02-23 / 10:43 AM","Grandstand","447","29","4","1012.73"
"06-02-23 / 10:43 AM","Middle","248","20","2","1259.42"
"06-02-23 / 10:43 AM","Middle","256","26","1","1012.73"
"06-02-23 / 10:43 AM","Middle","255","24","2","920.58"
"06-02-23 / 10:43 AM","Club","Club","2","2","5067.33"
"06-02-23 / 10:43 AM","Lower","138","5","2","2303.75"
"06-02-23 / 10:43 AM","Field","FIELD H","16","2","2763.58"
"06-02-23 / 10:43 AM","Lower","113","5","2","2073.38"
"06-02-23 / 10:43 AM","Field","FIELD S","24","3","2553.88"
"06-02-23 / 10:43 AM","Lower","101","6","4","2302.83"
"06-02-23 / 10:43 AM","Lower","132","5","4","2254.82"
"06-02-23 / 10:43 AM","Field","FIELD S","2","1","2074.44"
"06-02-23 / 10:43 AM","Lower","131","3","2","2118.53"
"06-02-23 / 10:43 AM","Grandstand","445","4","2","1111.5"
"06-02-23 / 10:43 AM","Grandstand","436","35","1","1239.75"
"06-02-23 / 10:43 AM","Lower","101","5","2","1696.15"
"06-02-23 / 10:43 AM","Middle","248","26","2","1289.18"
"06-02-23 / 10:43 AM","Grandstand","447","30","4","1127.41"
"06-02-23 / 10:43 AM","Middle","256","23","6","1127.92"
"06-02-23 / 10:43 AM","Middle","255","15","2","851.42"
"06-02-23 / 10:43 AM","Middle","248","10","2","1021.89"
"06-02-23 / 10:43 AM","Middle","256","22","1","892.91"
"06-02-23 / 10:42 AM","Upper","356","16","4","811.74"
"06-02-23 / 10:42 AM","Middle","255","3","2","802.72"
"06-02-23 / 10:42 AM","Middle","255","21","2","847.78"
"06-02-23 / 10:42 AM","Upper","356","4","2","862.25"
"06-02-23 / 10:42 AM","Middle","255","12","4","781.97"
"06-02-23 / 10:42 AM","Upper","356","21","2","766.64"
"06-02-23 / 10:42 AM","Field","FIELD N","17","1","3847.5"
"06-02-23 / 10:42 AM","Field","FIELD T","16","2","2650.5"
"06-02-23 / 10:42 AM","Club","208","4","2","2953.41"
"06-02-23 / 10:42 AM","Grandstand","436","15","1","1282.5"
"06-02-23 / 10:42 AM","Lower","101","14","1","4275"
"06-02-23 / 10:42 AM","Lower","103","4","3","2949.75"
"06-02-23 / 10:42 AM","Upper","331","10","1","940.5"
"06-02-23 / 10:42 AM","Field","FIELD H","15","1","2370.06"
"06-02-23 / 10:42 AM","Club","205","10","2","2031.48"
"06-02-23 / 08:19 AM","Middle","256","20","2","982.2"
"06-02-23 / 08:19 AM","Grandstand","432","2","2","1881"
"06-02-23 / 08:19 AM","Lower","114","4","3","1984.25"
"06-02-23 / 08:19 AM","Lower","113","2","3","2152.4"
"06-02-23 / 08:19 AM","Middle","248","6","2","1059.77"
"06-02-23 / 08:19 AM","Upper","348","1","2","809.03"
"06-02-23 / 08:19 AM","Field","FIELD C","13","4","2615.11"
"06-02-23 / 08:19 AM","Field","FIELD Q","17","2","3334.5"
"06-02-23 / 08:19 AM","Club","206","14","2","3346.47"
"06-02-23 / 08:19 AM","Field","FIELD K","13","2","2137.5"
"06-02-23 / 08:19 AM","Field","FIELD G","29","2","1966.5"
"06-02-23 / 05:55 AM","Field","FIELD D","6","2","4275"
"06-02-23 / 05:55 AM","Field","FIELD P","27","2","3123.88"
"06-02-23 / 02:22 AM","Club","205","18","2","2137.5"
"06-02-23 / 02:22 AM","Lower","121","13","2","1966.5"
"06-02-23 / 02:22 AM","Field","FIELD R","17","1","1812.5"
"06-02-23 / 02:22 AM","Middle","243","9","1","1282.5"
"06-02-23 / 02:22 AM","Club","213","10","1","1881"
"06-02-23 / 02:22 AM","Upper","333","10","1","1710"
"06-02-23 / 02:22 AM","Grandstand","443","27","3","1791.4"
"06-02-23 / 02:22 AM","Middle","230","9","1","1710"
"06-02-23 / 02:22 AM","Field","FIELD H","3","2","5557.5"
"06-02-23 / 02:22 AM","Lower","143","18","2","1838.25"
"06-02-23 / 02:22 AM","Grandstand","434","7","1","1658.7"
"06-02-23 / 02:22 AM","Grandstand","433","6","1","1235.73"
"06-02-23 / 02:22 AM","Lower","101","18","2","1923.75"
"06-01-23 / 10:25 PM","Field","FIELD V","23","2","2553.88"
"06-01-23 / 10:25 PM","Club","315","12","2","2394"
"06-01-23 / 10:25 PM","Club","316","15","1","1392.39"
"06-01-23 / 10:25 PM","Field","FIELD V","11","2","2399.59"
"06-01-23 / 10:25 PM","Lower","146","19","2","2051.99"
"06-01-23 / 10:25 PM","Grandstand","447","32","1","1752.74"
"06-01-23 / 10:25 PM","Middle","248","26","2","1923.74"
"06-01-23 / 10:25 PM","Club","206","8","1","2218.97"
"06-01-23 / 10:25 PM","Middle","225","8","2","2137.5"
"06-01-23 / 10:25 PM","Grandstand","432","1","2","2137.5"
"06-01-23 / 10:25 PM","Lower","140","17","3","5389.08"
"06-01-23 / 10:25 PM","Field","FIELD A","19","3","4103.14"
"06-01-23 / 10:25 PM","Field","FIELD R","20","1","2742.68"
"06-01-23 / 10:25 PM","Middle","224","6","1","2052"
"06-01-23 / 10:25 PM","Lower","117","7","2","3100.92"
"06-01-23 / 10:25 PM","Field","FIELD T","7","2","3419.14"
"06-01-23 / 10:25 PM","Field","FIELD B","7","3","2949.72"
"06-01-23 / 10:25 PM","Lower","101","19","2","1939.86"
"06-01-23 / 10:25 PM","Lower","132","6","1","1710"
"06-01-23 / 10:25 PM","Field","FIELD A","25","4","6412.5"
"06-01-23 / 10:25 PM","Upper","325","4","3","2419.86"
"06-01-23 / 10:25 PM","Club","315","3","1","1368"
"06-01-23 / 10:25 PM","Lower","106","1","1","2627.2"
"06-01-23 / 06:27 PM","Club","215","16","1","1709.14"
"06-01-23 / 06:27 PM","Field","FIELD P","2","4","6104.7"
"06-01-23 / 06:27 PM","Middle","223","4","2","2118.53"
"06-01-23 / 06:27 PM","Club","311","4","2","3040"
"06-01-23 / 06:27 PM","Club","209","16","4","3448.22"
"06-01-23 / 06:27 PM","Lower","144","2","3","3385.8"
"06-01-23 / 06:27 PM","Lower","130","2","1","1624.5"
"06-01-23 / 06:27 PM","Grandstand","444","16","3","2727.45"
"06-01-23 / 06:27 PM","Club","308","10","1","1566.55"
"06-01-23 / 06:27 PM","Grandstand","429","30","4","3034.18"
"06-01-23 / 06:27 PM","Lower","134","4","2","3804.75"
"06-01-23 / 06:27 PM","Grandstand","440","13","2","2052"
"06-01-23 / 06:27 PM","Lower","115","3","2","2962.47"
"06-01-23 / 06:27 PM","Grandstand","444","24","1","1282.5"
"06-01-23 / 06:27 PM","Upper","330","3","2","2156.31"
"06-01-23 / 06:27 PM","Club","211","7","2","3120.75"
"06-01-23 / 06:27 PM","Lower","112","2","2","3590.14"
"06-01-23 / 06:27 PM","Club","203","17","2","2565"
"06-01-23 / 06:27 PM","Middle","222","11","2","2394"
"06-01-23 / 06:27 PM","Club","310","14","2","2488.05"
"06-01-23 / 06:27 PM","Lower","111","12","4","4940.45"
"06-01-23 / 06:27 PM","Lower","134","12","1","2137.5"
"06-01-23 / 06:27 PM","Lower","113","10","2","3420"
"06-01-23 / 06:27 PM","Lower","103","11","2","2617.98"
"06-01-23 / 06:27 PM","Grandstand","429","22","2","2961.01"
"06-01-23 / 06:27 PM","Lower","134","16","2","3235.79"
"06-01-23 / 06:27 PM","Grandstand","434","26","2","2377.76"
"06-01-23 / 06:27 PM","Upper","324","14","2","2377.76"
"06-01-23 / 06:27 PM","Upper","336","12","2","3588.65"
"06-01-23 / 06:27 PM","Upper","325","8","2","2465.82"
"06-01-23 / 06:27 PM","Club","315","15","2","2730.02"
"06-01-23 / 06:27 PM","Club","315","16","2","2641.95"
"06-01-23 / 06:27 PM","Club","317","17","2","2465.82"
"06-01-23 / 06:27 PM","Lower","108","12","2","3633.75"
"06-01-23 / 06:27 PM","Lower","115","18","2","2736"
"06-01-23 / 06:27 PM","Upper","321","11","2","2597.92"
"06-01-23 / 06:27 PM","Field","FIELD C","5","3","4856.74"
"06-01-23 / 06:27 PM","Grandstand","442","34","1","1618.52"
"06-01-23 / 02:47 PM","Club","206","2","3","3089.12"
"06-01-23 / 02:47 PM","Grandstand","447","32","1","1752.74"
"06-01-23 / 02:47 PM","Upper","336","4","2","2992.5"
"06-01-23 / 02:47 PM","Grandstand","436","14","2","2129.59"
"06-01-23 / 02:47 PM","Middle","221","20","1","1795.5"
"06-01-23 / 02:47 PM","Grandstand","432","21","2","2201.62"
"06-01-23 / 02:47 PM","Grandstand","437","8","1","1544.43"
"06-01-23 / 02:47 PM","Grandstand","441","18","4","2351.25"
"06-01-23 / 02:47 PM","Upper","326","1","3","2565"
"06-01-23 / 02:47 PM","Lower","134","13","2","3513.79"
"06-01-23 / 02:47 PM","Upper","341","12","1","2147.76"
"06-01-23 / 02:47 PM","Club","308","11","2","2509.42"
"06-01-23 / 02:47 PM","Grandstand","438","34","1","1496.25"
"06-01-23 / 02:47 PM","Middle","223","5","2","2223"
"06-01-23 / 02:47 PM","Grandstand","440","35","1","1539"
"06-01-23 / 02:47 PM","Lower","124","19","2","2724.73"
"06-01-23 / 02:47 PM","Middle","221","13","2","2265.75"
"06-01-23 / 02:47 PM","Field","FIELD F","13","1","2517.5"
"06-01-23 / 02:47 PM","Club","216","15","1","1496.25"
"06-01-23 / 02:47 PM","Middle","226","21","2","2308.5"
"06-01-23 / 02:47 PM","Club","303","9","2","1914.88"
"06-01-23 / 02:47 PM","Lower","101","19","2","1922.38"
"06-01-23 / 02:47 PM","Field","FIELD E","3","2","4749.52"
"06-01-23 / 02:47 PM","Grandstand","440","34","2","2374.76"
"06-01-23 / 02:47 PM","Grandstand","439","22","2","2099.02"
"06-01-23 / 02:47 PM","Club","206","9","2","3106.38"
"06-01-23 / 02:47 PM","Field","FIELD U","15","2","2730.02"
"06-01-23 / 02:47 PM","Lower","104","14","1","2026.38"
"06-01-23 / 11:24 AM","Club","315","12","1","2394"
"06-01-23 / 11:24 AM","Lower","106","1","2","2988.22"
"06-01-23 / 11:24 AM","Club","302","16","1","1710"
"06-01-23 / 11:24 AM","Grandstand","440","6","2","2165.52"
"06-01-23 / 11:24 AM","Lower","141","17","4","2992.5"
"06-01-23 / 11:24 AM","Field","FIELD L","1","1","6227.02"
"06-01-23 / 11:24 AM","Grandstand","431","24","1","1391.46"
"06-01-23 / 11:24 AM","Lower","144","14","2","2710.35"
"06-01-23 / 11:24 AM","Upper","320","3","2","1795.5"
"06-01-23 / 11:24 AM","Lower","126","17","4","3303.22"
"06-01-23 / 11:24 AM","Field","FIELD U","4","2","3676.5"
"06-01-23 / 11:24 AM","Grandstand","436","24","2","2641.95"
"06-01-23 / 08:54 AM","Lower","133","5","1","2565"
"06-01-23 / 08:54 AM","Lower","101","8","2","1710"
"06-01-23 / 08:54 AM","Lower","104","11","1","2649.31"
"06-01-23 / 08:54 AM","Upper","333","9","4","3677.45"
"06-01-23 / 08:53 AM","Lower","138","19","1","2308.5"
"06-01-23 / 08:53 AM","Lower","124","15","2","2928.16"
"06-01-23 / 08:53 AM","Middle","256","10","2","1519.55"
"06-01-23 / 04:29 AM","Field","FIELD N","17","1","2778.75"
"06-01-23 / 04:29 AM","Lower","101","19","2","3420"
"06-01-23 / 12:52 AM","Middle","233","5","1","2394"
"06-01-23 / 12:51 AM","Field","FIELD F","5","2","2650.5"
"06-01-23 / 12:51 AM","Upper","338","10","1","1713.07"
"06-01-23 / 12:51 AM","Grandstand","436","32","1","1453.5"
"06-01-23 / 12:51 AM","Field","FIELD L","16","2","5330.92"
"06-01-23 / 12:51 AM","Field","FIELD N","4","1","3249"
"06-01-23 / 12:51 AM","Club","209","16","6","3634.6"
"06-01-23 / 12:51 AM","Grandstand","436","37","2","1963.72"
"06-01-23 / 12:51 AM","Middle","248","14","2","1427.85"
"06-01-23 / 12:51 AM","Grandstand","447","18","1","1371.8"
"06-01-23 / 12:51 AM","Field","FIELD A","25","2","3377.25"
"06-01-23 / 12:51 AM","Club","313","6","4","2991.64"
"06-01-23 / 12:51 AM","Field","FIELD K","8","2","5130"
"06-01-23 / 12:51 AM","Club","216","12","1","2565"
"06-01-23 / 12:51 AM","Grandstand","438","37","2","1988.82"
"06-01-23 / 12:51 AM","Upper","322","1","4","3491.25"
"06-01-23 / 12:51 AM","Field","FIELD N","6","1","3339.51"
"06-01-23 / 12:51 AM","Field","FIELD D","22","2","2864.25"
"06-01-23 / 12:51 AM","Field","FIELD Q","24","2","2943.33"
"05-31-23 / 09:04 PM","Lower","143","17","4","2992.5"
"05-31-23 / 09:03 PM","Middle","230","10","2","2210.68"
"05-31-23 / 09:03 PM","Lower","120","16","2","2948.9"
"05-31-23 / 09:03 PM","Lower","111","13","2","3333.64"
"05-31-23 / 09:03 PM","Grandstand","432","32","2","1710"
"05-31-23 / 09:03 PM","Grandstand","436","29","2","2626.28"
"05-31-23 / 09:03 PM","Grandstand","434","21","2","2428.14"
"05-31-23 / 09:03 PM","Lower","113","13","2","2394"
"05-31-23 / 09:03 PM","Middle","224","21","1","1453.5"
"05-31-23 / 09:03 PM","Field","FIELD T","4","1","2137.5"
"05-31-23 / 09:03 PM","Grandstand","436","5","2","1881"
"05-31-23 / 09:03 PM","Lower","117","14","2","2781.75"
"05-31-23 / 09:03 PM","Lower","144","2","3","4608.45"
"05-31-23 / 09:03 PM","Lower","146","12","6","2778.75"
"05-31-23 / 09:03 PM","Upper","334","13","2","2137.5"
"05-31-23 / 09:03 PM","Lower","126","2","2","2921.11"
"05-31-23 / 09:03 PM","Lower","134","12","2","3303.58"
"05-31-23 / 09:03 PM","Field","FIELD Q","20","2","3127.29"
"05-31-23 / 09:03 PM","Middle","220","14","6","3732.1"
"05-31-23 / 09:03 PM","Field","FIELD C","11","1","3377.25"
"05-31-23 / 05:16 PM","Field","FIELD C","9","1","3076.29"
"05-31-23 / 05:16 PM","Field","FIELD E","5","3","3420"
"05-31-23 / 05:16 PM","Field","FIELD A","20","3","3675.64"
"05-31-23 / 05:16 PM","Lower","125","4","2","2992.5"
"05-31-23 / 05:16 PM","Club","211","16","1","1880.14"
"05-31-23 / 05:16 PM","Club","Club","18","2","3894.96"
"05-31-23 / 05:16 PM","Grandstand","441","28","2","2632.4"
"05-31-23 / 05:16 PM","Field","FIELD V","19","2","2351.25"
"05-31-23 / 05:16 PM","Lower","134","13","2","4403.25"
"05-31-23 / 05:16 PM","Middle","220","12","2","2137.5"
"05-31-23 / 05:16 PM","Club","208","4","6","3895.18"
"05-31-23 / 05:16 PM","Upper","326","1","3","2569.14"
"05-31-23 / 05:16 PM","Club","207","3","4","3638.05"
"05-31-23 / 05:16 PM","Field","FIELD C","8","2","3244.72"
"05-31-23 / 05:16 PM","Field","FIELD U","22","2","2859.41"
"05-31-23 / 05:16 PM","Lower","123","11","2","2469.24"
"05-31-23 / 05:16 PM","Club","214","18","2","2137.5"
"05-31-23 / 05:16 PM","Lower","124","1","1","1795.5"
"05-31-23 / 05:16 PM","Lower","140","18","1","2137.5"
"05-31-23 / 05:16 PM","Grandstand","446","28","3","2613.32"
"05-31-23 / 02:07 PM","Lower","140","17","3","2990.79"
"05-31-23 / 02:07 PM","Lower","115","3","2","3505.51"
"05-31-23 / 02:07 PM","Lower","133","18","4","3846.64"
"05-31-23 / 02:07 PM","Grandstand","437","10","2","2239.24"
"05-31-23 / 02:07 PM","Lower","128","13","1","1881"
"05-31-23 / 02:07 PM","Grandstand","431","28","3","2349.82"
"05-31-23 / 02:07 PM","Grandstand","439","35","2","2257.68"
"05-31-23 / 02:07 PM","Upper","336","12","1","1838.25"
"05-31-23 / 02:07 PM","Field","FIELD S","4","4","3415.72"
"05-31-23 / 02:07 PM","Grandstand","437","6","2","2278.57"
"05-31-23 / 02:07 PM","Grandstand","435","23","2","3606.27"
"05-31-23 / 02:07 PM","Grandstand","442","23","1","1368"
"05-31-23 / 02:07 PM","Lower","105","5","3","5258.72"
"05-31-23 / 02:07 PM","Grandstand","441","4","1","1802.45"
"05-31-23 / 02:07 PM","Upper","324","11","1","1539"
"05-31-23 / 02:07 PM","Grandstand","442","25","1","1385.1"
"05-31-23 / 02:07 PM","Upper","341","5","2","2851.42"
"05-31-23 / 10:58 AM","Upper","330","12","2","1900.66"
"05-31-23 / 10:58 AM","Club","204","11","3","2351.25"
"05-31-23 / 10:58 AM","Field","FIELD D","5","1","2736"
"05-31-23 / 10:58 AM","Grandstand","428","10","2","2274.77"
"05-31-23 / 10:58 AM","Club","206","10","1","1710"
"05-31-23 / 10:58 AM","Upper","324","4","2","2094.75"
"05-31-23 / 10:58 AM","Field","FIELD N","4","1","4028.76"
"05-31-23 / 10:58 AM","Field","FIELD L","1","1","6412.5"
"05-31-23 / 08:40 AM","Grandstand","446","18","2","1252.58"
"05-31-23 / 08:40 AM","Upper","331","13","4","3334.5"
"05-31-23 / 08:40 AM","Club","207","17","2","3235.32"
"05-31-23 / 06:52 AM","Upper","330","3","6","3399.41"
"05-31-23 / 04:10 AM","Middle","248","2","2","2009.25"
"05-31-23 / 04:10 AM","Club","308","10","1","1843.92"
"05-31-23 / 04:10 AM","Grandstand","432","27","1","1432.12"
"05-31-23 / 04:10 AM","Grandstand","436","14","2","2598.63"
"05-31-23 / 04:10 AM","Grandstand","439","25","2","2622.59"
"05-31-23 / 04:10 AM","Field","FIELD Q","17","2","5792.02"
"05-31-23 / 04:10 AM","Grandstand","429","30","4","1701.45"
"05-31-23 / 04:10 AM","Upper","326","1","4","2716.52"
"05-31-23 / 04:10 AM","Grandstand","442","9","2","2327.5"
"05-31-23 / 12:22 AM","Club","214","6","2","2456.72"
"05-31-23 / 12:22 AM","Club","203","19","2","1709.14"
"05-31-23 / 12:22 AM","Club","213","15","1","1795.5"
"05-31-23 / 12:22 AM","Field","FIELD B","10","1","4275"
"05-31-23 / 12:22 AM","Lower","134","12","4","3860.65"
"05-31-23 / 12:22 AM","Lower","106","13","1","2249.38"
"05-31-23 / 12:22 AM","Club","203","15","1","3420"
"05-31-23 / 12:22 AM","Lower","113","12","1","2565"
"05-30-23 / 08:31 PM","Middle","226","7","2","2258.6"
"05-30-23 / 08:31 PM","Middle","219","11","4","2458.12"
"05-30-23 / 08:31 PM","Field","FIELD P","5","2","4829.84"
"05-30-23 / 08:31 PM","Lower","140","17","3","4237"
"05-30-23 / 08:31 PM","Field","FIELD H","21","1","3068.85"
"05-30-23 / 08:31 PM","Lower","142","19","2","3505.5"
"05-30-23 / 08:31 PM","Club","215","15","2","2613.37"
"05-30-23 / 08:31 PM","Field","FIELD R","16","2","2375"
"05-30-23 / 04:52 PM","Lower","110","12","1","1795.5"
"05-30-23 / 04:52 PM","Middle","240","2","2","4275"
"05-30-23 / 04:52 PM","Grandstand","431","16","2","1966.5"
"05-30-23 / 04:52 PM","Club","309","14","2","2223"
"05-30-23 / 01:32 PM","Lower","112","7","2","3089.12"
"05-30-23 / 01:32 PM","Club","302","15","1","1624.5"
"05-30-23 / 01:32 PM","Field","FIELD T","24","2","1923.75"
"05-30-23 / 01:32 PM","Grandstand","441","1","1","1282.5"
"05-30-23 / 01:32 PM","Upper","324","6","2","2308.5"
"05-30-23 / 01:32 PM","Club","205","6","2","2565"
"05-30-23 / 01:32 PM","Grandstand","446","11","3","1710"
"05-30-23 / 01:32 PM","Middle","224","16","1","1900.66"
"05-30-23 / 01:32 PM","Club","316","14","2","2133.27"
"05-30-23 / 01:32 PM","Field","FIELD P","27","2","2992.5"
"05-30-23 / 01:32 PM","Field","FIELD U","22","5","6032.95"
"05-30-23 / 01:32 PM","Field","FIELD G","16","2","3249"
"05-30-23 / 01:32 PM","Field","FIELD H","21","2","3592.93"
"05-30-23 / 01:32 PM","Field","FIELD U","23","5","3186.28"
"05-30-23 / 01:32 PM","Grandstand","435","23","1","1453.5"
"05-30-23 / 10:37 AM","Lower","133","3","2","2821.5"
"05-30-23 / 10:37 AM","Grandstand","431","18","1","1519.55"
"05-30-23 / 08:25 AM","Upper","330","10","2","2052"
"05-30-23 / 12:59 AM","Upper","334","15","2","2180.25"
"05-30-23 / 12:59 AM","Lower","113","13","1","1710"
"05-30-23 / 12:59 AM","Grandstand","444","11","1","1289.18"
"05-30-23 / 12:59 AM","Lower","124","8","2","2650.5"
"05-30-23 / 12:59 AM","Middle","243","3","1","1539"
"05-30-23 / 12:59 AM","Club","203","19","3","2351.25"
"05-30-23 / 12:59 AM","Lower","138","12","2","2992.5"
"05-29-23 / 09:20 PM","Grandstand","435","27","1","1785.24"
"05-29-23 / 09:20 PM","Middle","220","13","1","1938.84"
"05-29-23 / 09:20 PM","Upper","331","13","1","1710"
"05-29-23 / 09:20 PM","Upper","320","16","1","1529.69"
"05-29-23 / 09:20 PM","Lower","123","12","4","3451.02"
"05-29-23 / 09:20 PM","Club","309","18","1","1710"
"05-29-23 / 09:20 PM","Middle","230","6","2","2230.03"
"05-29-23 / 09:20 PM","Lower","142","17","2","2778.75"
"05-29-23 / 09:20 PM","Field","FIELD Q","17","2","3260.12"
"05-29-23 / 06:13 PM","Lower","144","14","2","2201.62"
"05-29-23 / 06:13 PM","Club","209","18","2","2992.5"
"05-29-23 / 06:13 PM","Field","FIELD B","7","3","4418.59"
"05-29-23 / 06:13 PM","Club","304","18","2","2052"
"05-29-23 / 06:13 PM","Grandstand","438","17","3","2526.75"
"05-29-23 / 06:13 PM","Club","310","12","4","2809.03"
"05-29-23 / 06:13 PM","Middle","256","17","2","1624.5"
"05-29-23 / 06:13 PM","Executive Suite Level B","Suite B17","B17","3","2649.64"
"05-29-23 / 06:13 PM","Field","FIELD U","11","1","3078"
"05-29-23 / 06:13 PM","Grandstand","445","18","1","1154.25"
"05-29-23 / 06:13 PM","Upper","322","1","2","2089.04"
"05-29-23 / 06:13 PM","Field","FIELD S","9","1","1710"
"05-29-23 / 06:13 PM","Lower","138","15","2","2736"
"05-29-23 / 06:13 PM","Lower","106","12","2","3951.81"
"05-29-23 / 06:13 PM","Middle","248","17","2","1608.02"
"05-29-23 / 06:13 PM","Middle","248","2","1","1090.12"
"05-29-23 / 06:13 PM","Club","302","11","2","1712.53"
"05-29-23 / 02:12 PM","Field","FIELD S","","2","3890.25"
"05-29-23 / 02:12 PM","Field","FIELD S","8","4","3562.5"
"05-29-23 / 02:12 PM","Grandstand","442","26","1","1368"
"05-29-23 / 02:12 PM","Club","309","14","2","2821.5"
"05-29-23 / 02:12 PM","Middle","226","19","2","2052"
"05-29-23 / 02:12 PM","Lower","106","2","4","4275"
"05-29-23 / 02:12 PM","Lower","110","8","1","2137.5"
"05-29-23 / 02:12 PM","Grandstand","429","26","2","4282.71"
"05-29-23 / 02:12 PM","Middle","243","5","3","2564.14"
"05-29-23 / 02:12 PM","Club","303","13","2","1881"
"05-29-23 / 02:12 PM","Lower","142","17","2","2885.62"
"05-29-23 / 02:12 PM","Grandstand","432","18","1","1026"
"05-29-23 / 02:12 PM","Lower","144","14","2","2351.25"
"05-29-23 / 02:12 PM","Lower","143","9","2","2565"
"05-29-23 / 10:38 AM","Lower","106","17","3","3420"
"05-29-23 / 10:38 AM","Middle","220","13","1","1539"
"05-29-23 / 07:31 AM","Field","FIELD Q","17","2","3260.12"
"05-29-23 / 04:51 AM","Lower","117","14","2","2479.5"
"05-29-23 / 04:51 AM","Grandstand","441","28","2","2228.19"
"05-29-23 / 04:51 AM","Grandstand","445","31","2","1617.23"
"05-29-23 / 04:51 AM","Lower","111","12","4","3445.41"
"05-29-23 / 04:51 AM","Lower","117","7","2","2958.02"
"05-29-23 / 01:35 AM","Field","FIELD E","3","2","4749.52"
"05-29-23 / 01:35 AM","Lower","103","1","2","3762"
"05-29-23 / 01:35 AM","Lower","117","15","2","2387.61"
"05-29-23 / 01:35 AM","Lower","105","17","1","2115.76"
"05-29-23 / 01:35 AM","Middle","256","15","1","1436.4"
"05-29-23 / 01:35 AM","Grandstand","434","30","4","2351.25"
"05-29-23 / 01:35 AM","Field","FIELD Q","4","1","3847.5"
"05-28-23 / 10:24 PM","Upper","342","13","1","1549.04"
"05-28-23 / 10:24 PM","Grandstand","437","15","1","1561.02"
"05-28-23 / 10:24 PM","Grandstand","430","2","2","2101.94"
"05-28-23 / 10:24 PM","Upper","330","5","2","2100.1"
"05-28-23 / 10:24 PM","Field","FIELD K","10","1","1966.5"
"05-28-23 / 10:24 PM","Grandstand","432","14","2","2456.86"
"05-28-23 / 10:24 PM","Lower","123","10","2","2359.04"
"05-28-23 / 10:24 PM","Grandstand","440","15","1","2090.56"
"05-28-23 / 06:42 PM","Club","307","10","1","1453.5"
"05-28-23 / 06:42 PM","Grandstand","447","29","2","1439.48"
"05-28-23 / 06:42 PM","Grandstand","436","1","1","1453.5"
"05-28-23 / 06:42 PM","Lower","105","8","1","1947.04"
"05-28-23 / 06:42 PM","Lower","Lower","2","2","5908.3"
"05-28-23 / 06:42 PM","Club","205","15","2","2565"
"05-28-23 / 03:22 PM","Upper","341","1","2","2696.31"
"05-28-23 / 12:27 PM","Lower","138","9","1","1966.5"
"05-28-23 / 12:27 PM","Grandstand","434","10","2","1881"
"05-28-23 / 12:27 PM","Middle","232","9","1","2180.25"
"05-28-23 / 12:27 PM","Upper","319","1","2","2029.14"
"05-28-23 / 12:27 PM","Field","FIELD U","14","2","2565"
"05-28-23 / 02:13 AM","Field","FIELD G","2","1","2560.72"
"05-28-23 / 02:13 AM","Grandstand","428","8","2","1925.01"
"05-28-23 / 02:13 AM","Club","215","16","1","1710"
"05-28-23 / 02:13 AM","Lower","120","16","2","2613.37"
"05-27-23 / 10:46 PM","Middle","243","3","3","2137.5"
"05-27-23 / 10:46 PM","Upper","318","2","1","1580.04"
"05-27-23 / 10:46 PM","Lower","112","3","1","2992.5"
"05-27-23 / 10:46 PM","Club","308","16","1","1613.55"
"05-27-23 / 07:29 PM","Middle","226","19","2","2052"
"05-27-23 / 07:29 PM","Lower","132","6","1","2164.63"
"05-27-23 / 07:29 PM","Upper","321","3","2","2009.25"
"05-27-23 / 04:14 PM","Grandstand","433","16","2","1825.49"
"05-27-23 / 04:14 PM","Field","FIELD Q","3","2","4702.5"
"05-27-23 / 04:14 PM","Lower","134","13","2","2847.44"
"05-27-23 / 04:14 PM","Lower","111","14","2","3163.5"
"05-27-23 / 12:58 PM","Club","211","16","4","2394"
"05-27-23 / 12:58 PM","Lower","121","17","2","2394"
"05-27-23 / 12:58 PM","Lower","114","7","1","1710"
"05-27-23 / 12:58 PM","Middle","224","18","2","2219.89"
"05-27-23 / 12:58 PM","Lower","133","15","1","2907"
"05-27-23 / 10:14 AM","Grandstand","428","28","1","1539"
"05-27-23 / 10:14 AM","Lower","131","17W","1","1667.25"
"05-27-23 / 10:14 AM","Club","214","19","2","1721.12"
"05-27-23 / 10:14 AM","Upper","332","8","2","1710"
"05-27-23 / 05:21 AM","Grandstand","443","23","1","1325.25"
"05-27-23 / 02:09 AM","Middle","225","10","2","2993.35"
"05-27-23 / 02:09 AM","Middle","224","14","3","3060.04"
"05-27-23 / 02:09 AM","Grandstand","444","17","1","1893.21"
"05-27-23 / 02:09 AM","Lower","123","4","1","2009.25"
"05-26-23 / 10:17 PM","Lower","126","2","2","2565"
"05-26-23 / 10:17 PM","Field","FIELD N","17","5","3334.5"
"05-26-23 / 10:17 PM","Lower","117","4","1","1795.5"
"05-26-23 / 10:17 PM","Upper","319","6","2","1988.6"
